Policy,Seed,Success,Unsafe,Timeout,TouchdownXY,TouchdownVz,MaxTiltDeg,EnergyJ,MaxAeroForce
Manual,5105,0,1,0,1.00796016080412,4.31244247199125,7.77868082027072,81.0679014422835,3.64548089138679
Manual,5106,0,1,0,1.23269476918807,4.17504978769165,8.57893868827888,91.3614471570409,3.34141159748162
Manual,5107,0,1,0,2.20598588006281,4.5824832065937,7.12260233362013,92.6477966922081,4.20446668451734
Manual,5108,0,1,0,12.1458948590223,4.42862779815721,25.3783489337732,577.717236314236,7.27869442903206
Manual,5109,0,1,0,12.093876896294,3.11829066908251,22.9783829836103,551.86491912386,4.83705217936154
Manual,5110,0,1,0,1.41117304229418,5.41131743565311,14.5847975642816,104.417173317687,4.59584878735994
Manual,5111,0,1,0,0.316894227375973,4.27403568746405,9.96857540764464,75.6294497948718,3.77387630792193
Manual,5112,0,1,0,1.8993839639074,4.13448239597635,5.3735882317502,71.4916686504544,3.46806220147778
Manual,5113,0,1,0,10.6695464139867,6.52565080245844,11.8056698967585,688.999597791321,8.55571599214117
Manual,5114,0,1,0,0.370317261961916,4.0690120262153,10.1723867331906,87.5625969220943,3.5999478481291
Manual,5115,0,1,0,0.415425227963889,3.97904951475227,12.9713718950473,99.3582066427628,3.01785464482157
Manual,5116,0,1,0,0.534202764302601,3.99624376841546,8.36626918625586,61.8902826257466,3.38070391256114
Manual,5117,0,1,0,1.3615681839274,5.03806290725536,12.8441197471518,87.3785982004407,4.13202786279092
Manual,5118,0,1,0,0.411116913458525,4.22363457952688,12.9665533051913,83.222379146733,3.34052786165194
Manual,5119,0,1,0,0.528011459805595,4.51709394827929,8.61534143622186,56.4965886405689,4.22736209213262
Manual,5120,0,1,0,0.887147646971774,4.36078929188399,6.60031610243445,76.2691866274762,3.83647847642472
Manual,5121,0,1,0,1.05134259397422,4.4251520961166,7.76569769494583,64.7498091300921,3.70498105315747
Manual,5122,0,1,0,2.08881146873433,4.28052134748373,5.51945401011172,70.7055860417619,3.64333983569929
Manual,5123,0,1,0,1.34222166346497,2.57615194055558,8.38845518173717,133.189994826575,2.5889483158929
Manual,5124,0,1,0,0.641518105530488,4.49947854982775,7.47420569699587,206.731193415496,4.18437263739243
Manual,5125,0,1,0,12.0626128499521,4.42410724504175,22.9612475756864,579.412282979496,6.24177278642502
Manual,5126,0,1,0,0.698719596351696,5.80178863264426,15.8652350367721,728.182210262854,4.53351287513853
Manual,5127,0,1,0,0.512158747466606,3.56134300220558,10.3664793479947,95.1577140142003,2.67289675535209
Manual,5128,0,1,0,0.493753734897104,4.38560205712574,6.74482859079114,62.9150932217775,3.81964619348624
Manual,5129,0,1,0,0.81134743757923,3.69862951098722,7.71136003479738,79.7485354470791,2.92602337315225
Manual,5130,0,1,0,1.83129263765417,1.00873750795147,4.25582307297954,261.837721855732,0.62903927188139
Manual,5131,0,1,0,1.41258401039306,2.46801003079132,4.47303288400943,125.452686754795,1.85993180512149
Manual,5132,0,1,0,2.98327538413921,7.8167174266348,24.4170936098126,781.995201447509,8.74127461966434
Manual,5133,0,1,0,1.26630587811304,4.87307577955646,12.7127394826752,85.4764750190115,3.98003890997272
Manual,5134,0,1,0,1.01159423904938,3.39738584887521,5.5493461545402,99.1158340205794,3.06098352666162
Manual,5135,0,1,0,1.02777049167194,4.23169596108953,8.70692901799307,69.0688773801616,3.78922405111817
Manual,5136,0,1,0,1.52699637013755,3.81817648254094,16.1634621179128,126.513589410784,2.17973748840851
Manual,5137,0,1,0,1.47373347592066,3.83060617428906,16.0606630855924,128.318406278213,3.02001703307812
Manual,5138,0,1,0,12.0300869205452,3.76655189526836,30.2642288211366,1222.51360196996,9.76229795444044
Manual,5139,0,1,0,0.513695475864668,4.7790388269853,12.5001898255768,140.051732744898,4.27501068284285
Manual,5140,0,1,0,0.994159830800438,4.1463167087178,12.3465980023525,110.315839599154,3.1433186523246
Manual,5141,0,1,0,1.27590560158532,4.91665443422464,5.69140855704045,60.1947018018494,4.51635466770683
Manual,5142,0,1,0,1.06866371364861,4.48008662459117,9.72381887896289,85.6028855866303,3.76872354038918
Manual,5143,0,1,0,0.783541338906942,2.6876718857952,17.3946213429202,206.782387463743,1.62051583109758
Manual,5144,0,1,0,1.84382757537518,1.2524029965554,8.87787957927342,169.196397574034,2.26200322077296
Manual,5145,0,1,0,0.605722448406307,4.28093773186928,4.72022909149012,69.3381616972287,3.51189581595817
Manual,5146,0,1,0,0.527313303450121,4.59686605313503,7.13230208947418,65.6655499979134,4.82707219089164
Manual,5147,0,1,0,0.650474639137315,2.99349732754623,12.8460072635315,140.199148577516,2.02862760151223
Manual,5148,0,1,0,1.87517537061912,5.12417574130382,15.9790127414088,72.3529716066438,3.73855159600546
Manual,5149,0,1,0,1.18173277075888,3.24464274752125,7.32832384324501,145.329555133504,2.42503675859289
Manual,5150,0,1,0,12.0873062209926,5.66521986028511,19.8844835139898,587.476599022989,9.31822007492651
Manual,5151,0,1,0,1.28348393243859,4.54719748688792,10.8078427078871,77.1060868841572,3.68215805800321
Manual,5152,0,1,0,0.814789820754055,4.09620467536339,4.67785085566072,79.3563833380088,3.4987099302799
Manual,5153,0,1,0,0.580615312301681,4.11479557715403,6.08390096439066,63.0706506240439,3.78438766431793
Manual,5154,0,1,0,0.88144876924987,3.33966235484206,7.98054810912121,94.3392744807594,2.6045044153853
Manual,5155,0,1,0,0.903489506504935,4.39994803344292,5.06500421522676,58.3548038160109,3.69201203464287
Manual,5156,0,1,0,9.33802448211895,5.42946326168456,13.7943912164558,716.081555532624,7.42301408490242
Manual,5157,0,1,0,1.93581862365205,4.85175638488663,8.98034904912652,65.4473276038518,4.54652044454805
Manual,5158,0,1,0,0.984595723490662,3.93038226981542,7.45550764465131,111.508649423999,3.23719726915577
Manual,5159,0,1,0,1.00588029233956,4.15423693808278,5.86893959303519,75.1055749149648,3.6983215597464
Manual,5160,0,1,0,7.22360110484183,5.24099868149706,8.89507452429729,476.422966702873,5.17015089699856
Manual,5161,0,1,0,0.913921912432625,3.60650526211859,7.38221319356336,83.5186924758544,2.7322510520983
Manual,5162,0,1,0,0.225744395623327,4.32094335019642,9.88161392535119,80.4869795944583,3.98216391585416
Manual,5163,0,1,0,12.0475701267839,5.3342498659242,23.954218848513,620.453367051776,8.52308552709938
Manual,5164,0,1,0,1.40157754236453,2.43853536463109,7.77864182831775,117.011189215993,1.8998731492385
Manual,5165,0,1,0,0.680355727338065,5.11825191077028,11.5127718081271,101.069875320945,4.81001563581596
Manual,5166,0,1,0,1.19840258023915,4.9670139425244,8.9660941659484,82.4937293552714,4.3426773229256
Manual,5167,0,1,0,1.1083235869855,4.72376883966842,7.73266238391427,84.1772510530295,4.25364500938926
Manual,5168,0,1,0,0.447141174640941,4.34036272524262,6.70776484472385,72.9819670101565,4.05142834820246
Manual,5169,0,1,0,0.662267797485338,4.27053070302359,10.1123650823321,59.1511294581794,4.06138914874694
Manual,5170,0,1,0,0.458302362144373,4.32042785260506,7.71710063209252,64.7507995019234,3.74490686072643
Manual,5171,0,1,0,0.936105201243347,4.1645750399151,11.0763872441031,103.432836568799,3.33648951240712
Manual,5172,0,1,0,1.49624412799311,4.97379197003763,12.6682379585351,84.1298006529007,3.88534389523163
Manual,5173,0,1,0,0.584743529051365,4.83603547323167,10.6785182314648,169.334308597914,4.36437899052541
Manual,5174,0,1,0,1.67979794768638,5.14558989197903,12.5058737756044,84.0754285150517,4.29047395048305
Manual,5175,0,1,0,1.28764495607363,2.94973291277254,5.91205194757935,131.74882911486,2.13286356139638
Manual,5176,0,1,0,0.684945924686932,4.7520161851972,6.58688325750557,83.501520007689,4.42534332276296
Manual,5177,0,1,0,0.737327209576455,3.75379391423182,6.89084998374882,89.2542814058207,3.20424571149676
Manual,5178,0,1,0,10.0178263725141,5.8381740908012,17.4947593990771,774.339152343622,8.487859716487
Manual,5179,0,1,0,1.23286147765403,3.87940965206414,12.826212047508,180.086125108996,2.51411223460205
Manual,5180,0,1,0,5.64450691366341,1.36051045402164,9.144653431808,606.243182218919,1.82078804966824
Manual,5181,0,1,0,1.13881722666579,4.33800987124467,8.89534724089529,77.659423077671,3.53840404281557
Manual,5182,0,1,0,0.747772550255475,4.25001486609595,7.58765379878912,76.2427604524917,3.60339968816115
Manual,5183,0,1,0,1.05521222229263,3.28327172644324,10.2264224260724,90.6245736474672,2.27128287775513
Manual,5184,0,1,0,0.777769489259798,4.23371278808232,6.95257859931666,104.797675506703,3.82514612044289
Manual,5185,0,1,0,0.680766826311471,4.14076101202298,5.63845782011459,80.9445881266125,3.4442009172622
Manual,5186,0,1,0,12.105478876761,3.40394239289436,33.0405670647983,563.060734453915,6.74082091894975
Manual,5187,0,1,0,1.06158962212846,4.40198195192306,5.6113050626522,67.1365894713891,3.71127847872573
Manual,5188,0,1,0,1.03638016952501,3.58125095512996,13.8068631312832,132.541992260459,2.52562775080569
Manual,5189,0,1,0,0.879864027183097,4.40190247905392,8.27119896425675,97.1045477232332,3.97115844218561
