Source,Destination,Relation,MeanAttention
OdomCovXY,NumSV,untyped,0.0309914383416375
LidarInlierRatio,LocalizationDifficulty,untyped,0.0309045290574431
LidarInlierRatio,OpenSkyScore,untyped,0.0308992115573751
LidarInlierRatio,GNSSReliability,untyped,0.0305932999692029
LidarInlierRatio,NumSV,untyped,0.0305828191133009
OdomCovXY,LidarStructure,untyped,0.0305683966519104
LidarInlierRatio,LidarStructure,untyped,0.0303045839278234
OdomCovXY,LiDARReliability,untyped,0.0300698711433344
OdomCovXY,OdomCovXY,untyped,0.0298115702345967
LidarInlierRatio,LiDARReliability,untyped,0.0296979629331165
LidarInlierRatio,OdomCovXY,untyped,0.0294788763340976
OdomCovXY,OdomYawVar,untyped,0.0289988058722681
LidarValidRatio,OdomReliability,untyped,0.0287040966045525
LidarInlierRatio,OdomYawVar,untyped,0.028684956414832
LidarValidRatio,GPSSpeedResidual,untyped,0.0284242021540801
OdomCovXY,LidarValidRatio,untyped,0.0283695166102714
LidarInlierRatio,LidarValidRatio,untyped,0.0282032194443875
OdomYawVar,OdomReliability,untyped,0.0279664951894018
OdomYawVar,GPSSpeedResidual,untyped,0.0274771924854981
LidarValidRatio,GPSFix,untyped,0.0261945710413986
OdomCovXY,OdomReliability,untyped,0.0254409661516547
LidarInlierRatio,OdomReliability,untyped,0.0252463759026594
OdomCovXY,GPSSpeedResidual,untyped,0.0249908154830337
OdomYawVar,GPSFix,untyped,0.0249808106364475
LidarInlierRatio,GPSSpeedResidual,untyped,0.0248452593882879
OdomCovXY,GPSFix,untyped,0.0227242000607981
LidarInlierRatio,GPSFix,untyped,0.0226305848194493
