time_s,context,numSV,hdop,cn0_mean,gnss_hAcc,lidar_score,lidar_feature_count,rel_gnss,rel_lidar,rel_localization,sigma_gnss_m,sigma_lidar_pos_m,sigma_lidar_yaw_deg,n_particles,ess,ess_ratio,meas_dim,rule_R1,rule_R2,rule_R3,rule_R4,rule_R5,rule_R6,rule_R7,rule_R8,rule_R9,rule_R10
231.8,FeaturePoor,14,1.17733333907973,40.1115834928669,1.15059575212046,0.259474457861491,108,0.833423038362711,0.0997640490452395,0.850041430533301,0.921983073186486,2.20606191847856,8.0938229065228,850,631.625855933787,0.743089242275043,5,0,0,0,0,0,1,0,0,0,0
231.9,FeaturePoor,14,1.18699236395205,37.4617434318651,0.79073658784381,0.387881047059152,46,0,0.116946135688334,0.116946135688334,NaN,2.12946031818941,7.81805714548189,1600,1384.5261593232,0.865328849576998,3,1,0,0,0,0,1,0,0,0,0
232,FeaturePoor,14,1.22322529499146,35.7075118919218,1.43751426874627,0.487900060888076,108,0.770298710687708,0.168634368357755,0.809034242521849,1.12210145849383,1.90792203368977,7.02051932128318,900,553.184954763506,0.614649949737229,5,0,0,0,0,0,1,0,0,0,0
232.1,FeaturePoor,15,1.36392064649002,41.3247503940107,0.997745110923154,0.29389398915498,34,0,0.0886090377302264,0.0886090377302264,NaN,2.25658371526756,8.27570137496321,1650,1592.4813597352,0.965140218021335,3,1,0,0,0,0,1,0,0,0,0
232.2,FeaturePoor,17,1.14278592530989,37.006104943934,1.30957761622662,0.118094446808298,45,0.838020866558771,0.0356054757127018,0.843788210660477,0.909897917362972,2.50514199618831,9.17051118627792,850,743.211807899627,0.874366832823091,5,0,0,0,0,0,1,0,0,0,0
232.3,FeaturePoor,15,1.34552195020493,38.7435820812082,0.959075020568561,0.232363204250209,29,0,0.0700575060814381,0.0700575060814381,NaN,2.34198260498869,8.58313737795927,1650,1635.51732297651,0.991222619985764,3,1,0,0,0,0,1,0,0,0,0
232.4,FeaturePoor,16,1.0396896437162,40.6750292103027,1.35461803728602,0.255305347738837,42,0.891668465623277,0.0769745623432592,0.900007238069899,0.9,2.30993989640355,8.46778362705276,750,572.048689868829,0.762731586491772,5,0,0,0,0,0,1,0,0,1,0
232.5,FeaturePoor,14,1.20705093108815,39.0430791243307,1.28253260283877,0.244295895694591,123,0,0.100756462551919,0.100756462551919,NaN,2.20159734910534,8.07775045677924,1600,1532.76063531946,0.957975397074661,3,1,0,0,0,0,1,0,0,0,0
232.6,FeaturePoor,13,0.957473283096373,38.4743375087834,1.63089682398565,0.351784486829953,90,0.806065814144719,0.120913022779231,0.82951498277671,1.00088374754681,2.11198478379787,7.75514522167234,850,745.791835616352,0.87740215954865,5,0,0,0,0,0,1,0,0,0,0
232.7,FeaturePoor,15,1.23569881098134,38.2146935292158,1.34197361172507,0.390487575638187,70,0,0.125157004054914,0.125157004054913,NaN,2.09337566888544,7.68815240798757,1600,1485.81230770826,0.928632692317664,3,1,0,0,0,0,1,0,0,0,0
232.8,FeaturePoor,15,1.32815223913035,39.1707179975497,1.09116403116424,0.311487024891643,119,0.829720786658761,0.11952958800483,0.850074190875226,0.931960083968889,2.11807036599736,7.7770533175905,850,788.055583567339,0.927124215961575,5,0,0,0,0,0,1,0,0,0,0
232.9,FeaturePoor,13,1.2538398585577,38.9266442143397,0.976580391358902,0.315268259449475,95,0,0.111759630224017,0.111759630224017,NaN,2.15242738624944,7.90073859049798,1600,1455.08793411199,0.909429958819992,3,1,0,0,0,0,1,0,0,0,0
233,FeaturePoor,14,0.975099617011476,38.0774702734674,0.91258415166381,0.238295889178544,124,0.834786924103375,0.099318710587331,0.851195673773594,0.918362883577792,2.20806696274517,8.10104106588261,850,733.531762351142,0.86297854394252,5,0,0,0,0,0,1,0,0,0,0
233.1,FeaturePoor,15,1.11460857038211,37.7657032629463,1.15057686909018,0.110698119750122,36,0,0.0333754831046617,0.0333754831046617,NaN,2.51590739165787,9.20926660996832,1650,1526.98382546099,0.925444742703629,3,1,0,0,0,0,1,0,1,0,0
233.2,FeaturePoor,12,1.15517619315176,40.5414054151136,0.815634451408051,0.386918862445238,110,0.806221339076435,0.138931037027239,0.833143209392295,1.00040135543464,2.03359939748746,7.47295783095487,850,718.34841668032,0.845115784329788,5,0,0,0,0,0,1,0,0,0,0
233.3,FeaturePoor,15,1.05683598430451,39.1681715064716,1.14036789960967,0.439406195393588,94,0,0.148815967911167,0.148815967911167,NaN,1.99128564120751,7.32062830834704,1550,1294.12755097137,0.834921000626692,3,1,0,0,0,0,1,0,0,0,0
233.4,FeaturePoor,13,1.03313426444454,34.8444428723451,1.02724648399831,0.340370316428109,130,0.766596230083948,0.132321650403075,0.79748060212954,1.1358185584882,2.06216429589811,7.57579146523319,900,809.987913471821,0.899986570524246,5,0,0,0,0,0,1,0,0,0,0
