Episode,Iteration,Return,Success,Steps,ActorLoss,CriticLoss,PolicyStd,Status
1710,75,-23.4566775718755,0,86,-0.0165517206473548,0.478348346257786,0.523457851835004,unsafe_touchdown
1711,75,-27.1397307188075,0,90,-0.0165517206473548,0.478348346257786,0.523457851835004,unsafe_touchdown
1712,75,-25.3259349133122,0,94,-0.0165517206473548,0.478348346257786,0.523457851835004,unsafe_touchdown
1713,75,-28.7163683035658,0,110,-0.0165517206473548,0.478348346257786,0.523457851835004,unsafe_touchdown
1714,75,-23.2153151889687,0,84,-0.0165517206473548,0.478348346257786,0.523457851835004,unsafe_touchdown
1715,75,-26.0741164513321,0,91,-0.0165517206473548,0.478348346257786,0.523457851835004,unsafe_touchdown
1716,75,-25.9969038353542,0,92,-0.0165517206473548,0.478348346257786,0.523457851835004,unsafe_touchdown
1717,75,-24.4646409930291,0,83,-0.0165517206473548,0.478348346257786,0.523457851835004,unsafe_touchdown
1718,75,-27.1883250305238,0,94,-0.0165517206473548,0.478348346257786,0.523457851835004,unsafe_touchdown
1719,75,-25.183547723717,0,81,-0.0165517206473548,0.478348346257786,0.523457851835004,unsafe_touchdown
1720,75,-26.0700146553686,0,97,-0.0165517206473548,0.478348346257786,0.523457851835004,unsafe_touchdown
1721,76,-24.6533842282242,0,99,-0.0120057225414344,0.526844169926731,0.524218201311424,unsafe_touchdown
1722,76,-30.2060657818503,0,103,-0.0120057225414344,0.526844169926731,0.524218201311424,unsafe_touchdown
1723,76,-27.068603034611,0,94,-0.0120057225414344,0.526844169926731,0.524218201311424,unsafe_touchdown
1724,76,-25.6164813714644,0,85,-0.0120057225414344,0.526844169926731,0.524218201311424,unsafe_touchdown
1725,76,-26.8062791460898,0,80,-0.0120057225414344,0.526844169926731,0.524218201311424,unsafe_touchdown
1726,76,-25.51968131721,0,74,-0.0120057225414344,0.526844169926731,0.524218201311424,unsafe_touchdown
1727,76,-25.9465885340988,0,90,-0.0120057225414344,0.526844169926731,0.524218201311424,unsafe_touchdown
1728,76,-24.7538916799498,0,85,-0.0120057225414344,0.526844169926731,0.524218201311424,unsafe_touchdown
1729,76,-25.2762103541399,0,81,-0.0120057225414344,0.526844169926731,0.524218201311424,unsafe_touchdown
1730,76,-24.6992862995628,0,85,-0.0120057225414344,0.526844169926731,0.524218201311424,unsafe_touchdown
1731,76,-23.0466655684133,0,82,-0.0120057225414344,0.526844169926731,0.524218201311424,unsafe_touchdown
1732,76,-26.1332171771458,0,88,-0.0120057225414344,0.526844169926731,0.524218201311424,unsafe_touchdown
1733,76,-26.5105612355294,0,85,-0.0120057225414344,0.526844169926731,0.524218201311424,unsafe_touchdown
1734,76,-25.2779788066304,0,86,-0.0120057225414344,0.526844169926731,0.524218201311424,unsafe_touchdown
1735,76,-24.6885219496108,0,92,-0.0120057225414344,0.526844169926731,0.524218201311424,unsafe_touchdown
1736,76,-25.5635838920781,0,74,-0.0120057225414344,0.526844169926731,0.524218201311424,unsafe_touchdown
1737,76,-30.1979193868587,0,97,-0.0120057225414344,0.526844169926731,0.524218201311424,unsafe_touchdown
1738,76,-30.7052488290178,0,101,-0.0120057225414344,0.526844169926731,0.524218201311424,unsafe_touchdown
1739,76,-23.8516323820195,0,79,-0.0120057225414344,0.526844169926731,0.524218201311424,unsafe_touchdown
1740,76,-24.2705140572904,0,89,-0.0120057225414344,0.526844169926731,0.524218201311424,unsafe_touchdown
1741,76,-24.2162833817666,0,82,-0.0120057225414344,0.526844169926731,0.524218201311424,unsafe_touchdown
1742,76,-24.2579344088213,0,87,-0.0120057225414344,0.526844169926731,0.524218201311424,unsafe_touchdown
1743,76,-24.4788938328087,0,90,-0.0120057225414344,0.526844169926731,0.524218201311424,unsafe_touchdown
1744,76,-23.3633191483176,0,91,-0.0120057225414344,0.526844169926731,0.524218201311424,unsafe_touchdown
1745,77,-25.7162926957283,0,100,-0.0126166040209354,0.529321714016025,0.524611800949387,unsafe_touchdown
1746,77,-26.768850216653,0,91,-0.0126166040209354,0.529321714016025,0.524611800949387,unsafe_touchdown
1747,77,-26.933638209513,0,77,-0.0126166040209354,0.529321714016025,0.524611800949387,unsafe_touchdown
